,who,text
5013,0,US fugitive who faked death found alive in Glasgow
5014,Single page of Spider - Man comic,Single page of Spider-Man comic sells for over $3.3m
5015,Man who had pig heart transplant,Man who had pig heart transplant was guilty of 1988 stabbing
5016,0,Who sparked deadly violence in Kazakhstan?
5017,0,Canadian doctor delivers Miracle baby on plane
5018,0,Families' quest for hope years after Ukraine air disaster
5019,Desmond Tutu 's funeral,Desmond Tutu's funeral re-imagined Ghana-style
5020,0,Bad weather caused India's top commander Bipin Rawat's chopper crash
5021,0,How a colossal block of ice became an obsession
5022,0,Tsunami warning in Tonga after giant eruption
5023,Lisbon,"Lisbon, Portugal council fined for sharing protester details with foreign embassies"
5024,0,Ex-minister accused of leaking state secrets in ongoing Danish spy scandal
5025,0,Driver who ploughed car through Wisconsin Christmas parade to face trial
5026,0,Pictures of vigils for murdered Irish teacher Ashling Murphy
5027,Tesla,Tesla starts accepting once-joke cryptocurrency Dogecoin
5028,BBC analysis,"Covid deaths are rising sharply in the UK, but an increasing proportion of these are actually due to something else, BBC analysis suggests"
5029,0,Space travel destroys red blood cells faster than on Earth
5030,0,US judge reassigned after reversing sex assault conviction
5031,0,Secret audio sheds light on toppled Tunisian dictator’s frantic last hours
5032,Guernsey,Guernsey to relax Covid measures in schools
5033,US YouTuber Adalia Rose,US YouTuber Adalia Rose dies aged 15 from genetic condition
5034,Britney Spears and sister Jamie Lynn 's rift,Britney Spears and sister Jamie Lynn's rift grows with social media feud
5035,0,The Brazilian who battled prejudice and patriarchy to become a referee
5036,Nirvana baby,Nirvana baby refiles lawsuit over Nevermind album cover
5037,0,Vigils held across Ireland for murdered teacher Ashling Murphy
5038,0,South African health minister criticised for telling schoolgirls to open your books and close your legs
5039,New species of frog,New species of frog named after Greta Thunberg 🐸
5040,0,A glimpse into Jewish life before World War Two
5041,Novak Djokovic,"Novak Djokovic faces deportation from Australia after latest visa decision

Follow the latest"
5042,Kanye West,Kanye West named as suspect in LA battery offence
5043,Former child prodigy Ruth Slenczynska,Former child prodigy Ruth Slenczynska will release a new album at the age of 97
5044,Russia and West talks,Risks remain as Russia and West talks continue over Ukraine border tensions
5045,Australia 's,The politics behind Australia's Djokovic decision
5046,0,Indian court clears bishop accused of raping a nun between 2014 and 2016
5047,Covid,Thousands head for Hindu festival as Covid surges
5048,Boris Johnson 's staff,Boris Johnson's staff accused of more rule-breaking parties inside No 10
5049,London,London hitman on trial over plot to kill Pakistani activist in Netherlands
5050,Discrimination and harassment haunt Sri Lanka 's Muslims,Discrimination and harassment haunt Sri Lanka's Muslims
5051,Prince Andrew,Prince Andrew: Why the military titles and royal patronages meant so much
5052,Biden,Biden plans dealt crushing blow by fellow Democrat
5053,Dutch King Willem - Alexander,Dutch King Willem-Alexander retires coach amid slavery row
5054,US Supreme Court,US Supreme Court blocks Biden's workplace vaccine mandate
5055,Leader of far - right Oath Keepers,Leader of far-right Oath Keepers charged with sedition after Capitol riot
5056,Man and woman,Man and woman arrested over fatal Dublin shooting
5057,Alderney 's only paramedic,Alderney's only paramedic resigns
5058,challenges of vaccinating Amazon,Covid: Viral photo highlights challenges of vaccinating Amazon
5059,0,US baffled after new cases of 'Havana syndrome' in Europe
5060,KFC,KFC faces boycott in China over meal toy promotion
5061,UK and India,UK and India launch trade talks 'worth billions'
5062,0,Largest darknet stolen credit card site closes
5063,0,Unvaccinated Canadian father loses right to see his 12-year-old child
5064,South Africa 's ' King Khoisan ' arrested over cannabis plants at president 's office,South Africa's 'King Khoisan' arrested over cannabis plants at president's office
5065,Alabama,Alabama IS bride loses appeal for return to US
5066,Novak Djokovic,Novak Djokovic faces number of questions over his activities after testing positive for Covid
5067,Kylie Jenner,Kylie Jenner becomes first woman with 300 million Instagram followers
5068,Prince Andrew accuser unlikely to accept money settlement alone,"Prince Andrew accuser unlikely to accept money settlement alone, says lawyer"
5069,El Salvador journalists and activists,"El Salvador journalists and activists hacked with spyware, report says"
5070,Israel,Israel says it broke up Iranian spy network that recruited women
5071,0,Half of France's schools could close as teachers strike over government's handling of coronavirus crisis
5072,0,Moroccan university professor accused of giving students good grades in return for sexual favours is sentenced to two years in prison
5073,Armourer in charge of weapons used during filming of Rust,"Armourer in charge of weapons used during filming of Rust sues prop supplier, alleging company distributed mix of dummy and live ammunition on set"
5074,France,"France to relax its restrictions for those travelling from UK from Friday, government announces"
5075,0,German verdict on crimes against humanity in Syria
5076,teachers,Afghan teachers employed by British Council say they are still in hiding from Taliban
5077,Novak Djokovic,Novak Djokovic set to play in Australian Open despite visa uncertainty
5078,Kim Kardashian,Kim Kardashian sued in crypto 'pump and dump' case
5079,Novak Djokovic,Novak Djokovic remains in Australian Open draw as decision over whether the defending champion can stay in country drags on
5080,The alcohol - free ' off - licence ',The alcohol-free 'off-licence' helping with Dry January
5081,The art,The art created by using a word processor
5082,Nigeria,Nigeria lifts Twitter ban after seven months
5083,0,Why warehouses are Asia's new hot property
5084,the UK 's rivers,How clean are the UK's rivers and lakes?
5085,0,Irish lottery: €19m jackpot must be won after rollover rule change
5086,UK PM Boris Johnson,Senior Tories urge UK PM Boris Johnson to quit after party apology
5087,Russia,US says Russia faces stark choice over Ukraine
5088,0,Escaped Dutch youth offender shot dead in Belgium
5089,Will Smith,Will Smith boosts Oscar hopes with Screen Actors Guild nomination
5090,0,"Palestinian man, 80, found dead after Israeli raid in West Bank"
5091,Leaked video of expletive - laden conversation between two Australian newsreaders on Novak Djokovic 's visa saga,Leaked video of expletive-laden conversation between two Australian newsreaders on Novak Djokovic's visa saga goes viral
5092,YouTube,Fact-checking organisations around the world say YouTube is not doing enough to prevent spread of misinformation on the platform
5093,Voracova,"Tennis player Renata Voracova, who was deported from Australia after her visa was cancelled, did nothing wrong says Women's Tennis Association"
5094,0,A simple guide to growing conflict between China and Taiwan
5095,0,US inflation rate hits near 40-year high
5096,0,Chinese woman stuck in lockdown with blind date
5097,Australian newsreaders,Australian newsreaders caught in expletive-laden rant about Novak Djokovic
5098,0,"Italian businessman kidnapped in Ivory Coast last year may have been lured by love interest who posed as young woman online, prosecutors say"
5099,0,Baby found by teenagers in -20C in Siberia doing well
5100,0,Greek sailing coach in rape trial over MeToo revelations
5101,0,Irish adoptees to get right of access to birth certificates
5102,French citizen in the Alps,French police arrest suspect over unsolved 2012 murder of British family and French citizen in the Alps
5103,Sidney Poitier 's daughter posts,"He was like a lighthouse, warm and bright

Sidney Poitier's daughter posts moving tribute to her father"
5104,0,"Landslides and flooding caused by torrential rains kill at least 10 people in south-eastern Brazil, officials say"
5105,Lennie James,Walking Dead star Lennie James demands debate over gay and disabled roles
5106,0,The teenager who made medical history to save her mother
5107,Novak Djokovic,Novak Djokovic admits breaching isolation rules while Covid positive
5108,0,Three ethical issues around pig heart transplants
5109,0,Saudi court orders first naming of man guilty of sexual harassment
5110,Taliban,Taliban expands 'food for work' programme
5111,Canadian province of Quebec,Canadian province of Quebec to impose health tax on unvaccinated
5112,0,People devote third of waking time to mobile apps
5113,the soaring cost of living,How the soaring cost of living is hitting Sri Lankans hard
5114,"Moxie Marlinspike , co-founder and chief executive of encrypted - messaging app Signal ,","Moxie Marlinspike, co-founder and chief executive of encrypted-messaging app Signal, resigns"
5115,North Korea,North Korea claims new hypersonic missile launch under watch of Kim Jong-un
5116,0,BBC boss says personal error to blame for Jeffrey Epstein's former lawyer interview
5117,Trump social media ban,"A year on, could Trump social media ban backfire?"
5118,0,Why are some athletes so reluctant to get the Covid vaccine?
5119,0,Indian actor apologises to Saina Nehwal for sexist tweet
5120,the worst of Omicron,Is the worst of Omicron really over?
5121,UK PM,UK PM facing growing anger over Downing Street drinks party
5122,0,Siddharth: Indian actor apologises to Saina Nehwal for sexist tweet
5123,0,Parents should be alert to common winter virus
5124,open London 's ' friendliest,The struggle to keep open London's 'friendliest stables'
5125,The soaring cost of living,The soaring cost of living is hitting Sri Lankans hard
5126,At least 17 people,"It was very heartbreaking. Especially when you see kids, like, fighting for their life. 

At least 17 people died, including eight children, in New York's deadliest blaze in 30 years."
5127,The island nation hunting for a missing $ 50m,Seychelles: The island nation hunting for a missing $50m
5128,Children,Children were fighting for their lives in Bronx fire
5129,0,"Pig heart transplant an absolute miracle, says patient's son"
5130,Elvis Costello,Elvis Costello asks radio stations not to play Oliver's Army over Irish-Catholic slur
5131,0,Up to Novak to explain PCR grey area - Serbia PM
5132,roads and airports at high risk of damage in Arctic - study,"Homes, roads and airports at high risk of damage in Arctic - study"
5133,President Biden,President Biden looks to rally the party on voting rights
5134,World Bank,World Bank warns global economy faces grim outlook
5135,0,"'Half of Europe' to be infected with Omicron within weeks, World Health Organization says"
5136,0,Fighting the darknet drug dealers who can't be stopped
5137,Gritty Fresh Prince of Bel - Air reboot,Gritty Fresh Prince of Bel-Air reboot reveals first (real) trailer
5138,0,Italian raids after New Year sexual assaults in Milan
5139,Snorlax on Pokémon,Police fired for chasing Snorlax on Pokémon Go instead of attending robbery in Los Angeles
5140,0,Second child dies after Spanish bouncy castle accident
5141,0,Danish spy chief named as mystery leak suspect
5142,Ugandan author of The Greedy Barbarian,Ugandan author of The Greedy Barbarian charged over Museveni tweets
5143,"Magawa , the landmine - sniffing hero rat ,","Magawa, the landmine-sniffing hero rat, dies aged eight"
5144,UN,UN calls for urgent aid with one million Afghan children at risk from severe malnourishment
5145,0,Democrats and Republicans in high-stakes battle over US voting reforms
5146,India 's,The prison life of India's best-known woman activist
5147,Doctor in China,Doctor in China charged for allegedly treating patient with fever at a hospital without a fever clinic
5148,0,Indian health officials investigate laboratory after claims of faulty Covid tests for international passengers
5149,Poet Maya Angelou,Poet Maya Angelou becomes first black woman featured on US quarter
5150,Ugandan negatives,How old Ugandan negatives are bringing families back to life
5151,Real estate giant Evergrande,Real estate giant Evergrande moves from Shenzhen head office to cut costs
5152,Novak Djokovic 's visa controversy,Novak Djokovic's visa controversy damaging on all fronts - ATP
5153,European Parliament president,David Sassoli: European Parliament president dies aged 65
5154,North Korea,North Korea fires second suspected missile in six days
5155,a train,A pilot was saved mere seconds before a train hit a plane that had crashed in its tracks.
5156,0,Man gets genetically-modified pig heart in world-first transplant
5157,0,Near-miss for pilot saved from downed plane hit by train
5158,UK PM Boris Johnson,UK PM Boris Johnson refuses to deny attending Downing Street drinks during lockdown
5159,New York officials,New York officials pledge support after 17 die in 'unspeakable tragedy' of building fire
5160,0,"Common cold may give some Covid protection, study suggests"
5161,Russia,Russia downplays threat to Ukraine in Geneva talks
5162,Novak Djokovic,"What did Novak Djokovic do after testing positive for Covid? 

Here's a timeline of what we know"
5163,0,"Tributes paid to US actor and comedian Bob Saget, who has died aged 65"
5164,Covid pass protesters,Covid pass protesters attack French MP Stéphane Claireaux with seaweed
5165,0,Novak Djokavic: How tennis player won Australian visa court case
5166,Timed Teaser,Timed Teaser: What did Pope say about parenting?
5167,Novak Djokovic,Novak Djokovic focused on Australian Open after winning court ruling
5168,Tesla,Tesla adds assertive self-driving mode with rolling stops
5169,Dijana Djokovic,Dijana Djokovic tells press conference that her family is celebrating after her son Novak won legal battle to have his Australian visa reinstated
5170,Ikea,Ikea cuts sick pay for unvaccinated staff forced to self-isolate
5171,0,Swedish PM under fire for illegal immigrant cleaner
5172,0,Huge fossilised ‘sea dragon’ found in UK reservoir
5173,Alec Baldwin,Alec Baldwin rejects allegations of non-compliance with shooting probe
5174,Novak Djokovic supporters,Novak Djokovic supporters surround car in Melbourne
5175,0,Indian police arrest man for making app that 'sold' Muslim women
5176,"world tennis number one , Novak Djokovic ,","Why world tennis number one, Novak Djokovic, is such a polarising player"
5177,Ousted Myanmar leader Aung San Suu Kyi,Ousted Myanmar leader Aung San Suu Kyi jailed for another four years
5178,triumphs at subdued Golden Globes,West Side Story triumphs at subdued Golden Globes
5179,New York apartment block fire,New York apartment block fire kills 19
5180,US actor and comedian Bob Saget,US actor and comedian Bob Saget dies aged 65
5181,0,'They looted everything': Counting the cost of Kazakh protests
5182,0,Sulli Deals: Police arrest man for making app that 'sold' Muslim women
5183,New York fire,"New York fire: 'A horrific, painful moment' for city"
5184,China,Crisis-hit Sri Lanka asks China to restructure its debt
5185,Delhi 's foul air,Delhi's foul air is rooted in India's water crisis
5186,Paralympic swimmer,Paralympic swimmer Will Perry 'sick to death' of dwarfism abuse
5187,Novak Djokovic 's hearing,"Novak Djokovic's hearing begins as he challenges Australia's attempt to deport him

Follow for more live updates"
5188,0,Australia says Novak Djokovic given no visa assurances
5189,Man,Man found shot dead in front garden in Dublin
5190,At least 154,"At least 154 killed in Kazakhstan crackdown on anti-government protests, reports say"
5191,more of the stories,"A new year adventure for penguins 🐧

And more of the stories you've missed this week"
5192,Baby,Baby lost in Kabul evacuation is reunited with family
5193,0,Hundreds reported killed in Nigeria as bandits target villages
5194,Afcon Cameroon 2022,Afcon Cameroon 2022: Playing football in the shadow of a rebellion
5195,Novak Djokovic,Novak Djokovic: Is his vaccine saga an unforced error for Australia?
5196,Thousands protest in France against proposed new vaccine pass,Covid: Thousands protest in France against proposed new vaccine pass
5197,At least five dead after Brazil cliff,At least five dead after Brazil cliff collapses on boats
5198,0,Basmah bint Saud: Saudi princess released from jail after almost three years
5199,At least 21 people,At least 21 people die after heavy snow trapped them in their vehicles in northern Pakistan
5200,Turkmenistan,Turkmenistan plans to close its mysterious Gateway to Hell
5201,0,"Dozens killed in airstrike on camp for displaced people in northern Ethiopia, aid workers say"
5202,This week,"This week marked the first anniversary of the storming of the US Capitol 

@BBCRosAtkins examines what has happened since that day"
5203,Kazakhstan 's former intelligence chief,Kazakhstan's former intelligence chief arrested for treason
5204,Ethiopia,Ethiopia frees rebel leaders in Christmas amnesty
5205,0,Why is there a boycott of the Beijing Winter Olympics?
5206,KFC in Kenya,How KFC in Kenya got fried over its chip shortage
5207,0,Families seek justice for Iran plane crash victims
5208,Many dead in Pakistan as heavy snow traps drivers,Many dead in Pakistan as heavy snow traps drivers in vehicles
5209,India,India restores foreign funding permit for Mother Teresa charity
5210,0,Canada party flight 'idiots' fly home to face music
5211,BBC witnesses,BBC witnesses apocalyptic scenes in Kazakhstan city
5212,Sidney Poitier,Sidney Poitier was a ground-breaking black man - Bonnie Greer
5213,Denmark,Denmark frees suspected pirates in dinghy in Gulf of Guinea
5214,Berlin cannibal,Berlin cannibal jailed for murdering engineer
5215,Italy - India,Huge number of Covid cases on second Italy-India flight
5216,0,"Pages from 1921 Census - made available for first time - reveal glimpses into lives of some of the 38 million people living in England and Wales, a century ago"
5217,Simon and Schuster employee,Simon  and  Schuster employee pleads not guilty to manuscripts theft
5218,0,Gaming convention E3 cancels in-person event due to Covid
5219,South Africa parliament,"South Africa parliament had inadequate fire safety measures, report says"
5220,0,Hiring slows in US after record year of job gains
5221,Google,Google loses Sonos smart speakers patent fight
5222,Two Haitian journalists,Two Haitian journalists killed in gang attack
5223,More than 3.7 million infected with Covid in UK,"More than 3.7 million infected with Covid in UK, says ONS"
5224,0,"Irish government to pay 'basic income' to 2,000 artists"
5225,0,Marking the anniversary of the Capitol riot
5226,Instagram,Instagram blocked hashtag in memory of Iran plane crash victims
5227,0,Djokovic visa row: Second player loses visa over vaccine status
5228,US Fed,Bitcoin prices fall to lowest in months after US Fed remarks
5229,Djokovic,Could Djokovic argue his way to the Australian Open?
5230,0,Troops told to fire without warning in Kazakhstan
5231,0,What is long Covid and what are the symptoms?
5232,India man,India man has taken at least eight Covid jabs
5233,Hong Kong,Hong Kong quarantines all 100 guests of scandal-hit birthday party
5234,Australia,Australia investigates visas of other foreign tennis players
5235,Witch apology in Scotland,Witch apology in Scotland would 'send important message' to countries where witch hunts still take place
5236,Djokovic stay highlights,Djokovic stay highlights refugee concerns at Melbourne detention hotel
5237,0,"How closely have you been paying attention to what's been going on during the past seven days?

Take our news quiz"
5238,India 's jobs crisis,India's jobs crisis is more serious than it seems
5239,the US Capitol marked anniversary of riot,How the US Capitol marked anniversary of riot
5240,Samsung,Samsung expects its profits to jump by 52 percent  for the last three months of 2021
5241,0,Dementia cases expected to almost triple across the world by 2050
5242,0,Omicron: 13 passengers on Italy-India flight escape quarantine
5243,0,Two arrested after 10 bodies found in car in Mexico
5244,Lithuania,Lithuania wobbles after daring to defy China
5245,Myanmar coup,Myanmar coup: The doctors and nurses defying the military
5246,0,Investors threaten drug maker bonuses over vaccine access
5247,0,Russian submarine hit Royal Navy warship in North Atlantic
5248,US Congresswoman Stacey Plaskett,"“We are in an ideological civil war”

US Congresswoman Stacey Plaskett reflects on the 6 January Capitol riot one year on"
5249,China 's,The messy cost of China's Covid lockdown in Xi'an
5250,0,Drone helps save cardiac arrest patient in Sweden
5251,0,The Last Picture Show director Peter Bogdanovich dies aged 82
5252,0,More than 100 people test positive for Covid on Italy-India flight
5253,betrayed by the Capitol riot US Senator Tammy Duckworth,"I feel betrayed by the Capitol riot

US Senator Tammy Duckworth describes being barricaded for four hours when the Capitol was stormed"
5254,Novak Djokovic,"Novak Djokovic will be deported if he hasn't told truth, deputy PM says"
5255,Omicron,"Deadly Omicron should not be called mild , warns World Health Organization"
5256,Kazakhstan government,Kazakhstan government restores fuel price cap after protest bloodshed
5257,I,"I would love a physical battle

A year after the US Capitol riot, we speak to QAnon believers"
5258,Novak Djokovic 's,Serbians angry over Novak Djokovic's Australia entry ban
5259,0,Machine gun fire heard in Kazakhstan as clashes continue
5260,China,Is China luring poorer countries into debt?
5261,Donald Trump,"One year ago, rioters stormed the US Capitol after Donald Trump lost the presidential election to Joe Biden

This is how the world's media reacted"
5262,0,Why have there been riots and deaths in Kazakhstan?
5263,0,What is Long Covid and what are the symptoms?
5264,Capitol riot,Capitol riot: What happened to these rioters?
5265,0,At least seven Palestinians killed and three others badly injured in crash between truck and a minibus
5266,Tigray hospital,Tigray hospital running out of food for starving children impacted by civil war in Ethiopia
5267,We,"“We’re living at an inflection point in history”

Joe Biden says “we’re engaged anew in a struggle between democracy and autocracy”, adding that Donald Trump and the mob that rioted at the Capitol “could not be further away from the core American values”"
5268,We,"“We are one nation under God… we are the United States of America”

On the anniversary of the Capitol riot US President Joe Biden says “God bless you all”"
5269,the Capitol,"“You can’t be patriotic when you embrace and enable lies”

US President Joe Biden says those that stormed the Capitol “held a dagger at the throat of America and American democracy”"
5270,0,"“Are we going to be a nation that accepts political violence as a norm?”

One year on from the Capitol riot US President Joe Biden says now is the time to “decide what nation we’re going to be”"
5271,Donald Trump,"“He can’t accept he lost”

US President Joe Biden says Donald Trump “refused to accept the will of American people” and “created a web of lies”"
5272,Trump,"In this sacred place democracy was attacked

US President Biden says Trump tried to prevent the peaceful transfer of power as a violent mob breached the Capitol

But they failed... [and we need to] make sure such an attack never happens again"
5273,great nations,"“They were looking to deny the will of the people… and overturn an election”

US President Joe Biden says “great nations don’t bury the truth, they face up to it” speaking about the Capitol riot one year on"
5274,US President Joe Biden,"“A crowd that professes their love for law enforcement, assaulted those police officers”

US President Joe Biden reflects on the Capitol riot, on the first anniversary of the clashes in Washington DC"
5275,NFT marketplace OpenSea,NFT marketplace OpenSea valued at more than $13bn
5276,we,"“If we are not vigilant, if we do not defend it, democracy will not stand”

US vice-president Kamala Harris says “the violent assault that took place here… reflects the fragility of democracy”"
5277,US vice-president Kamala Harris,"“They were assaulting the institutions, the values, the ideals, that generations of Americans have marched, picketed and shed blood to establish and defend”

US vice-president Kamala Harris speaks about the “chaos” of the US Capitol riot one year on"
5278,0,US President Joe Biden about to speak at Congress one year after US Capitol riot
5279,0,Late cancer diagnosis: Listen to your body
5280,the world,"'A nation in decline'

How the world saw the Capitol riot"
5281,Guatemala soldiers,Guatemala soldiers face rape trial after 40 years
5282,Kevin McCarthy 's stance on Trump and the Capitol riot,How Republican Kevin McCarthy's stance on Trump and the Capitol riot has changed over the year
5283,creator of app,Indian police arrest alleged creator of app to 'auction' Muslim women
5284,India,India records first death linked to Omicron variant
5285,the world,'A nation in decline' - how the world saw the Capitol riot
5286,North Korea,"North Korea successfully tested hypersonic missile, says report"
5287,Biden,Biden to blame Trump for Capitol riot one year on
5288,0,"‘Is this America?’ 

On duty during the Capitol riot"
5289,PinkPantheress,PinkPantheress wins BBC Sound Of 2022
5290,EU,Ukraine crisis: EU looks for role in Russian row with West
5291,0,Vodafone and EE delay EU roaming charges return
5292,Omicron,Grammy Awards 2022: Omicron postpones music's biggest night
5293,0,"Pardon for Homer Plessy, a 19th century black activist whose arrest 130 years ago led to seperate but equal segregation laws"
5294,some fellow Hollywood stars,Actress Gal Gadot says viral video she and some fellow Hollywood stars made at beginning of pandemic was in poor taste
5295,Indian Prime Minister Narendra Modi,Indian Prime Minister Narendra Modi trapped on flyover in what is being seen as security breach of his convoy
5296,0,Pope Francis says choosing pets over kids is selfish
5297,Australian model and actress Alli Simpson,Australian model and actress Alli Simpson lucky to be alive after diving accident
5298,Meghan,Meghan to receive £1 in damages after privacy case
5299,0,Seven children among 13 dead in Philadelphia apartment blaze
5300,US actress Joan Copeland,US actress Joan Copeland dies aged 99
5301,US science teacher,US science teacher arrested for vaccinating 17-year-old student
5302,0,Staff flee as protesters enter Kazakhstan airport
5303,French uproar as Macron,French uproar as Macron vows to 'piss off' unvaccinated
5304,James Webb Space Telescope,James Webb Space Telescope extends secondary mirror
5305,South Africa 's Zondo commission report,"South Africa's Zondo commission report: Scandal, bullying and fear"
5306,Australia,"Australia could refuse Novak Djokovic entry over vaccine row, says PM Scott Morrison"
5307,John Deere,John Deere unveils automated tractor that tills fields on its own
5308,Novak Djokovic,"Australians give their views on Novak Djokovic being able to play in the Australian Open, after being exempted from vaccination rules"
5309,France,France opens terrorism probe into blast in Saudi Arabia that badly wounded French driver in the Dakar Rally
5310,Iconic Bangkok station Hua Lamphong,Iconic Bangkok station Hua Lamphong reaches the end of the line
5311,Grichka and Igor Bogdanoff die of Covid six days apart,France's TV twins Grichka and Igor Bogdanoff die of Covid six days apart
5312,Army officer,Army officer completes remarkable solo South Pole trek
5313,0,Paraguayan soldier killed by deer at presidential palace
5314,0,"How can you tell if you have Covid, or a winter cold? 🤧"
5315,New York prosecutors,New York prosecutors drop charge accusing former governor Andrew Cuomo of inappropriately groping aide
5316,China investment,China investment firm's shares slump after $6.6bn bailout
5317,Haiti president 's,Colombian charged over Haiti president's murder
5318,China Mobile shares,China Mobile shares rise in Shanghai debut after US exit
5319,0,The stunning Indian gorge that resembles the Grand Canyon
5320,0,Emergency declared after Kazakhstan fuel protests
5321,President Macron,President Macron warns he will hassle France's unvaccinated
5322,Nirvana 's Nevermind cover art lawsuit,Nirvana's Nevermind cover art lawsuit dismissed
5323,0,Behind the Winter Olympic bubble in Beijing
5324,Canada,Canada reaches $31bn deal in indigenous child welfare case
5325,General Motors 90 - year streak as top US car seller,General Motors 90-year streak as top US car seller ends
5326,Donald Trump 's children,Donald Trump's children refuse to testify in fraud inquiry
5327,Prince Andrew 's lawyers to ask US court to dismiss civil sexual assault case,Prince Andrew's lawyers to ask US court to dismiss civil sexual assault case
5328,Europe 's tattoo artists,Europe's tattoo artists fear for future after EU ink ban
5329,Tesla,Tesla criticised after opening Xinjiang showroom
5330,Sudan,Sudan forces fire tear gas at protesters
5331,Apple,Apple becomes first firm to hit $3tn market value
5332,Omicron stats,"Omicron stats are huge, but look beyond them"
5333,Xi'an residents trade goods for food as supplies,"Swapping cigarettes for cabbage, Xi'an residents trade goods for food as supplies run low in lockdown"
5334,Thailand 's Maya Bay,"Thailand's Maya Bay, made famous in Leonardo DiCaprio movie The Beach, reopens after more than three years"
5335,three Covid cases,Second Chinese city forced into lockdown after three Covid cases discovered
5336,Two arrested in Egypt after teenage girl 's suicide,Two arrested in Egypt after teenage girl's suicide sparks outrage
5337,Washington DC,Major snowfall blankets Washington DC
5338,0,"Man detained for setting South Africa's parliament in Cape Town on fire was found at the site with explosives, prosecutors allege"
5339,0,Indian police arrest man over fake auction of Muslim women
5340,0,Police stung as beekeepers protest in Chile
5341,desperate for tests amid Omicron surge,Australians desperate for tests amid Omicron surge
5342,Hong Kong trade,Evergrande shares rise as Hong Kong trade resumes
5343,Xi'an residents barter food amid shortage,Cigarettes for cabbage: Xi'an residents barter food amid shortage
5344,South Africa 's parliament building,South Africa's parliament building on fire again
5345,England,"England must stick with Covid Plan B to protect NHS, UK PM says"
5346,0,Watching North Korea from a supersonic fighter jet
5347,new resolutions,Is there a better way to make new resolutions stick?
5348,Africa 's lost ' Motown ' years,Africa's lost 'Motown' years rediscovered
5349,BlackBerry,Why BlackBerry held the tiny keys to my heart
5350,Canadian families,Canadian families win compensation over jet downed by Iran
5351,Man,Donegal: Man drowns after incident near island
5352,Ariel Henry,"Haiti PM Ariel Henry survives assassination attempt, officials say"
5353,0,Timed Teaser: What's Tony Blair's new title?
5354,South Africa parliament fire,South Africa parliament fire flares up again
5355,Turkey 's inflation,Turkey's inflation hits 36 percent  amid financial turmoil
5356,French MPs,French MPs get death threats over support for Covid vaccine pass
5357,0,South Korea says man who crossed to North is gymnast who defected
5358,0,Newborn baby found in toilet bin of Air Mauritius plane
5359,0,Israeli photographer captures unique bird spoon image
5360,0,Top US phone firms reject call to delay 5G rollout
5361,0,Ex-Australia teen cricketer accuses team official of rape
5362,Hong Kong 's Citizen News website,Hong Kong's Citizen News website is latest to close
5363,Oxfam,Oxfam says work will suffer after it loses foreign funding in India
5364,Isle of Man attorney general,John Quinn: Isle of Man attorney general dies
5365,0,The farm helping refugees build a life in Australia
5366,0,The comedians under fire from Hindu nationalists
5367,Antonio Brown,Antonio Brown no longer with Tampa Bay Buccaneers after mid-game walk-off
5368,0,Richard Leakey: Kenyan conservationist dies aged 77
5369,0,Can fitness apps be as effective as a personal trainer?
5370,Evergrande,Evergrande suspends shares in Hong Kong as firm tries to raise cash
5371,0,China: Why some think small eyes are not beautiful
5372,Ukraine,Emily in Paris: Ukraine complains over Kiev character stereotype
5373,Prime Minister Abdalla Hamdok,Sudan coup: Prime Minister Abdalla Hamdok resigns amid mass protests
5374,0,"Aoife Beary: Berkeley balcony collapse survivor dies, aged 27"
5375,Twitter,Marjorie Taylor Greene: Twitter bans congresswoman over Covid misinformation
5376,Israel Omicron spike,Israel Omicron spike could bring herd immunity but with risks - health boss
5377,Russia ’s civil rights group uncovering an uncomfortable past,Memorial: Russia’s civil rights group uncovering an uncomfortable past
5378,EU flag,EU flag removed from Arc de Triomphe after right-wing outrage
5379,Lionel Messi isolating after testing positive for Covid,Paris St-Germain forward Lionel Messi isolating after testing positive for Covid
5380,Rapper Central Cee,Rapper Central Cee kicks off BBC Sound of 2022 countdown
5381,0,"Tiny tigers, trees as tasty treats, and other stories you may have missed"
5382,Africa,Africa plays on in 2022 without its great referee Desmond Tutu
5383,The parkour group saving energy,The parkour group saving energy by using their skills turning off city lights
5384,0,Weight loss transformation for army veteran with PTSD
5385,0,In the footsteps of the women who escaped a Nazi death march
5386,Russia,How Russia tries to censor Western social media
5387,DMZ in rare defection to North Korea,South Korean crosses DMZ in rare defection to North Korea
5388,0,US flight cancellations hit new holiday peak amid Covid and bad weather
5389,England men 's cricket head coach Chris Silverwood,England men's cricket head coach Chris Silverwood tests positive for Covid
5390,Map drawn from memory,Map drawn from memory helps reunite kidnapped Chinese man with family
5391,0,Three people reported missing and presumed dead after Colorado wildfires
5392,0,Major fire rips through South Africa parliament building in Cape Town
5393,EU,EU plans to label gas and nuclear energy 'green' prompt row
5394,Denmark,Denmark to make domestic flights fossil fuel free by 2030
5395,New Year 's Eve Fireworks,New Year's Eve Fireworks kill and injure in Europe despite bans
5396,UAE,UAE bans foreign travel for unvaccinated citizens
5397,0,French car-burning protesters return for New Years' Eve
5398,0,New law allowing assisted suicide takes effect Austria
5399,0,French ban on plastic packaging for fruit and vegetables begins
5400,New Year 's Day,"New Year's Day is warmest on record in the UK, Met Office says"
